trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.99}",25,0,-165.41954244057865,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.3, 'e': 0.98}",25,0,-124.14220070331807,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.97}",20,0,-105.59774236996239,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.96}",20,0,-82.4173617378679,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.95}",25,0,-67.3078466824522,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.94}",30,0,-151.18688843635073,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9299999999999999}",20,0,-59.58248180641506,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9199999999999999}",20,0,-164.3678536477703,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.3, 'e': 0.9099999999999999}",30,0,-124.71693308918118,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.8999999999999999}",30,0,-164.93607726729462,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.3, 'e': 0.8899999999999999}",20,0,-105.69833481459709,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.8799999999999999}",25,6,-23.53538479173337,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.3, 'e': 0.8699999999999999}",20,0,-185.3977300200179,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.3, 'e': 0.8599999999999999}",20,0,-117.2658183686632,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.8499999999999999}",25,0,-238.86017016552535,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
16,False,"{'a': 0.3, 'e': 0.8399999999999999}",20,0,-109.67975183765087,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.3, 'e': 0.8299999999999998}",30,7,-88.01934842892295,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.3, 'e': 0.8199999999999998}",30,11,-14.481873391154712,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 0}",1
