trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.52976810137886,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,8,-87.18102339677007,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.64986436842497,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.3209993459974,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.70577010645852,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.81134178829865,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.8047754081505,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.19081297041018,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-142.60920314192097,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.52783531190317,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.60768042850404,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-66.84016926442642,"{0: 23, 1: 7, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,3,-86.4061067792143,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.17563268288472,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.72761593063142,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.0031570137109,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.43973884260046,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.383191458695094,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.11826189646632,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.64619566352354,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,3,-60.818852801353415,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.07953622983214,"{0: 17, 1: 2, 2: 11, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.35485238298556,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.79014487148119,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.50169872233889,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.70886997522057,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,11,-14.075213300927318,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.76323239971694,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.49631216020516,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.1199408494681,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
